蚂蟥养殖,#genre#
山东影视,http://120.221.5.174:8089/PLTV/88888888/224/3221225802/index.m3u8
山东农科,http://120.221.5.102:8089/PLTV/88888888/224/3221226018/index.m3u8
山东少儿,http://120.221.5.110:8089/PLTV/88888888/224/3221226195/index.m3u8


安徽卫视,http://39.130.215.166:6410/gitv_live/G_ANHUI-HD/G_ANHUI-HD.m3u8
冬奥纪实,http://39.130.215.166:6410/gitv_live/G_BEIJINGJS-HD/G_BEIJINGJS-HD.m3u8
北京卫视,http://39.130.215.166:6410/gitv_live/BTV-1/BTV-1.m3u8
东方卫视,http://39.130.215.166:6410/gitv_live/DFWS-HD/DFWS-HD.m3u8
广东卫视,http://39.130.215.166:6410/gitv_live/GDWS-HD/GDWS-HD.m3u8
贵州卫视,http://39.130.215.166:6410/gitv_live/G_GUIZHOU-HD/G_GUIZHOU-HD.m3u8
黑龙江卫视,http://39.130.215.166:6410/gitv_live/G_HEILONGJIANG-HD/G_HEILONGJIANG-HD.m3u8
湖南卫视,http://39.130.215.166:6410/gitv_live/HNWS-HD/HNWS-HD.m3u8
江苏卫视,http://39.130.215.166:6410/gitv_live/G_JIANGSU-HD/G_JIANGSU-HD.m3u8
江西卫视,http://39.130.215.166:6410/gitv_live/G_JIANGXI-HD/G_JIANGXI-HD.m3u8
辽宁卫视,http://39.130.215.166:6410/gitv_live/G_LIAONING-HD/G_LIAONING-HD.m3u8
山东卫视,http://39.130.215.166:6410/gitv_live/G_SHANDONG-HD/G_SHANDONG-HD.m3u8
纪实人文,http://39.130.215.166:6410/gitv_live/G_SHANGHAIJS-HD/G_SHANGHAIJS-HD.m3u8
金鹰纪实,http://39.130.215.166:6410/gitv_live/G_JINYINGJS-HD/G_JINYINGJS-HD.m3u8
深圳卫视,http://39.130.215.166:6410/gitv_live/SZWS-HD/SZWS-HD.m3u8
重庆卫视,http://39.130.215.166:6410/gitv_live/G_CHONGQING-HD/G_CHONGQING-HD.m3u8
浙江卫视,http://39.130.215.166:6410/gitv_live/ZJWS-HD/ZJWS-HD.m3u8
天津卫视,http://39.130.215.166:6410/gitv_live/G_TIANJIN-HD/G_TIANJIN-HD.m3u8
四川卫视,http://39.130.215.166:6410/gitv_live/G_SICHUAN-HD/G_SICHUAN-HD.m3u8
东南卫视,http://39.130.215.166:6410/gitv_live/G_DONGNAN-HD/G_DONGNAN-HD.m3u8
广西卫视,http://39.130.215.158:6610/gitv_live/G_GUANGXI-HD/
云南卫视,http://39.130.218.239:6610/gitv_live/G_YUNNAN-HD/G_YUNNAN-HD.m3u8
